id,거래처명,사업자번호,cno,cd_com,color
11,"쇠터닭갈비","894-01-03374","8077128","biz202501090060544","#1C90FB"
12,"주식회사 위커밋","778-86-02712","11433327","biz202512180240935","#1C90FB"
21,"이오복순대국 대치은마점","745-11-02752","10380360","biz202510270154469","#1C90FB"
24,"사랑나무동물병원","830-01-03628","8350727","biz202503110051342","#1C90FB"
35,"비비큐","382-21-01250","12037765","biz202601060282871","#1C90FB"
82,"스테이 핏","392-10-02022","9003734","biz202506100068577","#1C90FB"
84,"주식회사 클린미션","799-86-03789","11290380","biz202512120285211","#1C90FB"
85,"주식회사 시아게임즈","679-86-03336","11673573","biz202512260248961","#1C90FB"
47,"서광보말칼국수","558-06-01102","12385398","biz202601210053898","#1C90FB"
91,"주식회사 쿨텍코리아","263-81-03650","12203293","biz202601120203518","#1C90FB"
94,"본죽&비빔밥 cafe 성수힐스테이트점","216-03-72003","12566435","biz202602080016048","#1C90FB"
50,"씨투지(C2G)","142-06-89427","12522274","biz202602020113362","#1C90FB"
60,"안녕 피아노 음악학원","560-97-00327","12671015","biz202602270074791","#1C90FB"
42,"어른김밥","553-47-00800","12143986","biz202601090184665","#1C90FB"
0,"스마트로지텍","142-04-81891","12913387","biz202604030023326","#1C90FB"
0,"부호상사","503-09-46492","12826274","biz202603230064000","#1C90FB"
0,"국민프린팅","698-42-00995","12934146","biz202604070034848","#1C90FB"
0,"주식회사 소스트","765-86-03597","12910550","biz202604020077245","#1C90FB"
0,"주식회사 위더스메디케어","266-88-03809","12913422","biz202604030023707","#1C90FB"
